origem,destino,distancia,tempo,peso
E1,P2,1.2,4.0,1.2
P2,U1,0.9,3.0,0.9
P2,B1,1.5,5.0,1.5
P2,B2,1.8,6.0,1.8
P2,B3,0.8,3.0,0.8
P2,B4,1.3,5.0,1.3
P2,B5,1.6,6.0,1.6
P2,B8,1.5,6.0,1.5
P2,P1,1.0,4.0,1.0
P1,B1,0.8,3.0,0.8
P1,B2,1.1,4.0,1.1
P1,B4,1.2,5.0,1.2
P1,B6,1.0,4.0,1.0
P1,B7,1.1,4.0,1.1
P1,B9,1.5,6.0,1.5
P1,B11,1.4,6.0,1.4
U1,B1,2.1,7.0,2.1
U1,B2,2.4,8.0,2.4
U1,B3,1.1,4.0,1.1
U1,B5,1.3,5.0,1.3
U1,B8,1.2,5.0,1.2
B1,B6,0.9,4.0,0.9
B1,B9,1.0,4.0,1.0
B1,B11,1.1,5.0,1.1
B2,B7,1.2,5.0,1.2
B2,B10,1.0,4.0,1.0
B3,B5,0.9,3.0,0.9
B3,B10,1.4,5.0,1.4
B4,B6,1.3,5.0,1.3
B4,B8,1.0,4.0,1.0
B5,B8,0.8,3.0,0.8
B6,B11,1.1,5.0,1.1
B7,B9,0.9,4.0,0.9
